table,domain,index,columns,kind,size_bytes,scans,flags
care_plan_tasks,Nursing,idx_care_plan_tasks_due,hospital_id due_date status,INDEX,8192,103,none
care_plan_tasks,Nursing,idx_care_plan_tasks_patient,patient_id status,INDEX,8192,0,ZERO scans since stats reset
care_plans,Nursing,care_plans_pkey,id,PK,8192,0,none
care_plans,Nursing,idx_care_plans_hospital,hospital_id status created_at,INDEX,8192,103,none
care_plans,Nursing,idx_care_plans_patient,patient_id status,INDEX,8192,2,none
case_sheet_templates,Other,case_sheet_templates_pkey,id,PK,8192,0,none
case_sheet_templates,Other,idx_cst_hospital,hospital_id is_active,INDEX,8192,117,none
cghs_echs_beneficiaries,PM-JAY,cghs_echs_beneficiaries_pkey,id,PK,16384,4,none
cghs_echs_beneficiaries,PM-JAY,idx_cghs_echs_hospital,hospital_id,INDEX,16384,169,none
cghs_echs_beneficiaries,PM-JAY,idx_cghs_echs_patient,patient_id,INDEX,16384,4,none
cghs_echs_beneficiaries,PM-JAY,idx_cghs_echs_referral_lookup,hospital_id patient_id,INDEX,16384,0,ZERO scans since stats reset
cghs_echs_beneficiaries,PM-JAY,idx_cghs_id,cghs_id,INDEX,16384,19,none
cghs_echs_beneficiaries,PM-JAY,idx_echs_card_no,echs_card_no,INDEX,8192,0,ZERO scans since stats reset
chain_memberships,Tenant,chain_memberships_chain_id_hospital_id_key,chain_id hospital_id,UNIQUE,8192,0,none
chain_memberships,Tenant,chain_memberships_pkey,id,PK,8192,0,none
chain_memberships,Tenant,idx_chain_memberships_hospital,hospital_id,INDEX,8192,109,none
chart_of_accounts,Other,chart_of_accounts_hospital_id_code_key,hospital_id code,UNIQUE,57344,519,none
chart_of_accounts,Other,chart_of_accounts_pkey,id,PK,40960,6415,none
chemo_order_drugs,IPD,chemo_order_drugs_pkey,id,PK,8192,0,none
chemo_orders,IPD,chemo_orders_pkey,id,PK,8192,0,none
chemo_protocols,IPD,chemo_protocols_hospital_id_protocol_code_key,hospital_id protocol_code,UNIQUE,8192,119,none
chemo_protocols,IPD,chemo_protocols_pkey,id,PK,8192,0,none
chronic_disease_programs,Other,chronic_disease_programs_pkey,id,PK,8192,0,none
chronic_disease_programs,Other,idx_cdp_hospital_patient,hospital_id patient_id,INDEX,8192,271,none
chronic_disease_programs,Other,idx_cdp_next_followup,hospital_id next_followup,INDEX,8192,978,none
churn_remediation_actions,Platform,churn_remediation_actions_pkey,id,PK,8192,0,none
churn_remediation_actions,Platform,idx_churn_remediation_hospital,hospital_id triggered_at,INDEX,8192,98,none
cleaning_schedules,Other,cleaning_schedules_pkey,id,PK,8192,0,none
cleaning_schedules,Other,idx_cleaning_sched_hospital,hospital_id is_active,INDEX,8192,107,none
cleaning_schedules,Other,idx_cleaning_sched_next,next_due_at,INDEX,8192,0,ZERO scans since stats reset
